靡ㄩ絏	虏嘿	るら	厨筍瞯
COID	Name	MDATE	ROI
Y9999  	舦计     	20170103	   0.2094
Y9999  	舦计     	20170104	   0.1518
Y9999  	舦计     	20170105	   0.7665
Y9999  	舦计     	20170106	   0.1505
Y9999  	舦计     	20170109	  -0.3180
Y9999  	舦计     	20170110	   0.0773
Y9999  	舦计     	20170111	  -0.0417
Y9999  	舦计     	20170112	   0.6895
Y9999  	舦计     	20170113	  -0.3331
Y9999  	舦计     	20170116	  -0.9223
Y9999  	舦计     	20170117	   0.6694
Y9999  	舦计     	20170118	  -0.1343
Y9999  	舦计     	20170119	  -0.2553
Y9999  	舦计     	20170120	   0.1432
Y9999  	舦计     	20170123	   0.9922
Y9999  	舦计     	20170124	   0.2536
Y9999  	舦计     	20170202	  -0.2009
Y9999  	舦计     	20170203	   0.2820
Y9999  	舦计     	20170206	   0.8720
Y9999  	舦计     	20170207	   0.1735
Y9999  	舦计     	20170208	  -0.1184
Y9999  	舦计     	20170209	   0.4918
Y9999  	舦计     	20170210	   0.7863
Y9999  	舦计     	20170213	   0.4628
Y9999  	舦计     	20170214	   0.0871
Y9999  	舦计     	20170215	   0.8332
Y9999  	舦计     	20170216	  -0.2909
Y9999  	舦计     	20170217	  -0.1176
Y9999  	舦计     	20170218	   0.2066
Y9999  	舦计     	20170220	  -0.2732
Y9999  	舦计     	20170221	   0.1100
Y9999  	舦计     	20170222	   0.1521
Y9999  	舦计     	20170223	  -0.0968
Y9999  	舦计     	20170224	  -0.1928
Y9999  	舦计     	20170301	  -0.7763
Y9999  	舦计     	20170302	   0.1759
Y9999  	舦计     	20170303	  -0.4498
Y9999  	舦计     	20170306	   0.3568
Y9999  	舦计     	20170307	   0.5726
Y9999  	舦计     	20170308	   0.1579
Y9999  	舦计     	20170309	  -0.9724
Y9999  	舦计     	20170310	  -0.3181
Y9999  	舦计     	20170313	   0.7213
Y9999  	舦计     	20170314	   0.4833
Y9999  	舦计     	20170315	  -0.0400
Y9999  	舦计     	20170316	   1.0012
Y9999  	舦计     	20170317	   0.7203
Y9999  	舦计     	20170320	   0.0432
Y9999  	舦计     	20170321	   0.6004
Y9999  	舦计     	20170322	  -0.4997
Y9999  	舦计     	20170323	   0.0814
Y9999  	舦计     	20170324	  -0.2795
Y9999  	舦计     	20170327	  -0.2647
Y9999  	舦计     	20170328	  -0.0032
Y9999  	舦计     	20170329	  -0.2045
Y9999  	舦计     	20170330	  -0.0822
Y9999  	舦计     	20170331	  -0.3719
Y9999  	舦计     	20170405	   1.4061
Y9999  	舦计     	20170406	  -0.5194
Y9999  	舦计     	20170407	  -0.2468
Y9999  	舦计     	20170410	   0.0929
Y9999  	舦计     	20170411	  -0.5072
Y9999  	舦计     	20170412	  -0.1499
Y9999  	舦计     	20170413	   0.1935
Y9999  	舦计     	20170414	  -1.0547
Y9999  	舦计     	20170417	  -0.1698
Y9999  	舦计     	20170418	   0.3104
Y9999  	舦计     	20170419	  -1.0939
Y9999  	舦计     	20170420	  -0.0752
Y9999  	舦计     	20170421	   0.8795
Y9999  	舦计     	20170424	   0.0056
Y9999  	舦计     	20170425	   1.2735
Y9999  	舦计     	20170426	   0.1498
Y9999  	舦计     	20170427	   0.0423
Y9999  	舦计     	20170428	   0.1154
Y9999  	舦计     	20170502	   0.7017
Y9999  	舦计     	20170503	   0.1414
Y9999  	舦计     	20170504	   0.1237
Y9999  	舦计     	20170505	  -0.6792
Y9999  	舦计     	20170508	   0.3769
Y9999  	舦计     	20170509	  -0.2191
Y9999  	舦计     	20170510	   0.5329
Y9999  	舦计     	20170511	   0.3327
Y9999  	舦计     	20170512	  -0.1466
Y9999  	舦计     	20170515	   0.5007
Y9999  	舦计     	20170516	  -0.0531
Y9999  	舦计     	20170517	  -0.1776
Y9999  	舦计     	20170518	  -0.4416
Y9999  	舦计     	20170519	  -0.2190
Y9999  	舦计     	20170522	   0.4990
Y9999  	舦计     	20170523	   0.1058
Y9999  	舦计     	20170524	   0.3655
Y9999  	舦计     	20170525	   0.6379
Y9999  	舦计     	20170526	  -0.0647
Y9999  	舦计     	20170531	  -0.6061
Y9999  	舦计     	20170601	   0.4651
Y9999  	舦计     	20170602	   0.6455
Y9999  	舦计     	20170603	   0.0554
Y9999  	舦计     	20170605	   0.6762
Y9999  	舦计     	20170606	  -0.2020
Y9999  	舦计     	20170607	   0.0373
Y9999  	舦计     	20170608	   0.1547
Y9999  	舦计     	20170609	  -0.2555
Y9999  	舦计     	20170612	  -0.8793
