COID,Name,MDATE,ROI
Y9999,加權指數,20160104,-2.6841
Y9999,加權指數,20160105,-0.4825
Y9999,加權指數,20160106,-1.0491
Y9999,加權指數,20160107,-1.7312
Y9999,加權指數,20160108,0.5337
Y9999,加權指數,20160111,-1.3371
Y9999,加權指數,20160112,-0.2564
Y9999,加權指數,20160113,0.7229
Y9999,加權指數,20160114,-1.0445
Y9999,加權指數,20160115,0.2471
Y9999,加權指數,20160118,0.6335
Y9999,加權指數,20160119,0.5595
Y9999,加權指數,20160120,-1.9830
Y9999,加權指數,20160121,-0.4560
Y9999,加權指數,20160122,1.2026
Y9999,加權指數,20160125,1.7788
Y9999,加權指數,20160126,-0.8295
Y9999,加權指數,20160127,0.2703
Y9999,加權指數,20160128,0.7041
Y9999,加權指數,20160129,2.2201
Y9999,加權指數,20160130,0.7996
Y9999,加權指數,20160201,0.1443
Y9999,加權指數,20160202,-0.3153
Y9999,加權指數,20160203,-0.8392
Y9999,加權指數,20160215,0.0435
Y9999,加權指數,20160216,1.8045
Y9999,加權指數,20160217,0.0265
Y9999,加權指數,20160218,1.2225
Y9999,加權指數,20160219,0.1247
Y9999,加權指數,20160222,0.0197
Y9999,加權指數,20160223,0.0956
Y9999,加權指數,20160224,-0.6213
Y9999,加權指數,20160225,1.0021
Y9999,加權指數,20160226,0.5415
Y9999,加權指數,20160301,0.8861
Y9999,加權指數,20160302,0.6877
Y9999,加權指數,20160303,0.7928
Y9999,加權指數,20160304,0.3688
Y9999,加權指數,20160307,0.1851
Y9999,加權指數,20160308,0.0550
Y9999,加權指數,20160309,-0.3486
Y9999,加權指數,20160310,0.3080
Y9999,加權指數,20160311,0.5247
Y9999,加權指數,20160314,0.4797
Y9999,加權指數,20160315,-1.5629
Y9999,加權指數,20160316,1.0215
Y9999,加權指數,20160317,0.4069
Y9999,加權指數,20160318,0.8721
Y9999,加權指數,20160321,0.0226
Y9999,加權指數,20160322,-0.3066
Y9999,加權指數,20160323,-0.2230
Y9999,加權指數,20160324,-0.2591
Y9999,加權指數,20160325,-0.4393
Y9999,加權指數,20160328,-0.1668
Y9999,加權指數,20160329,-0.8412
Y9999,加權指數,20160330,1.3889
Y9999,加權指數,20160331,0.0892
Y9999,加權指數,20160401,-0.9981
Y9999,加權指數,20160406,-1.6662
Y9999,加權指數,20160407,-0.2708
Y9999,加權指數,20160408,0.6036
Y9999,加權指數,20160411,0.2469
Y9999,加權指數,20160412,-0.3668
Y9999,加權指數,20160413,1.4172
Y9999,加權指數,20160414,0.1807
Y9999,加權指數,20160415,0.3770
Y9999,加權指數,20160418,-0.3952
Y9999,加權指數,20160419,-0.3726
Y9999,加權指數,20160420,-1.3811
Y9999,加權指數,20160421,0.6362
Y9999,加權指數,20160422,-0.3840
Y9999,加權指數,20160425,0.2874
Y9999,加權指數,20160426,0.2487
Y9999,加權指數,20160427,-0.2158
Y9999,加權指數,20160428,-1.0415
Y9999,加權指數,20160429,-1.1325
Y9999,加權指數,20160503,-1.0000
Y9999,加權指數,20160504,-1.3100
Y9999,加權指數,20160505,-0.2139
Y9999,加權指數,20160506,-0.2636
Y9999,加權指數,20160509,-0.1792
Y9999,加權指數,20160510,0.3008
Y9999,加權指數,20160511,-0.2542
Y9999,加權指數,20160512,-0.3381
Y9999,加權指數,20160513,-0.6704
Y9999,加權指數,20160516,0.1727
Y9999,加權指數,20160517,0.9034
Y9999,加權指數,20160518,0.2359
Y9999,加權指數,20160519,-0.7807
Y9999,加權指數,20160520,0.4358
Y9999,加權指數,20160523,2.6217
Y9999,加權指數,20160524,-0.5247
Y9999,加權指數,20160525,1.1510
Y9999,加權指數,20160526,-0.0248
Y9999,加權指數,20160527,0.8278
Y9999,加權指數,20160530,0.8538
Y9999,加權指數,20160531,-0.0033
Y9999,加權指數,20160601,0.7213
Y9999,加權指數,20160602,-0.4785
Y9999,加權指數,20160603,0.3663
Y9999,加權指數,20160604,0.0490
Y9999,加權指數,20160606,0.0645
Y9999,加權指數,20160607,0.9630
Y9999,加權指數,20160608,0.4099
Y9999,加權指數,20160613,-2.0568
Y9999,加權指數,20160614,0.4674
Y9999,加權指數,20160615,0.3527
Y9999,加權指數,20160616,-1.3040
Y9999,加權指數,20160617,0.8705
Y9999,加權指數,20160620,0.6751
Y9999,加權指數,20160621,0.6832
Y9999,加權指數,20160622,0.3615
Y9999,加權指數,20160623,-0.4540
Y9999,加權指數,20160624,-2.3015
Y9999,加權指數,20160627,-0.2138
Y9999,加權指數,20160628,0.5514
Y9999,加權指數,20160629,0.9529
Y9999,加權指數,20160630,0.9319
Y9999,加權指數,20160701,0.8269
Y9999,加權指數,20160704,0.2557
Y9999,加權指數,20160705,-0.5081
Y9999,加權指數,20160706,-1.6099
Y9999,加權指數,20160707,0.7598
Y9999,加權指數,20160711,1.6845
Y9999,加權指數,20160712,0.6258
Y9999,加權指數,20160713,0.1842
Y9999,加權指數,20160714,0.0972
Y9999,加權指數,20160715,0.9416
Y9999,加權指數,20160718,0.6521
Y9999,加權指數,20160719,0.2960
Y9999,加權指數,20160720,-0.3009
Y9999,加權指數,20160721,0.5426
Y9999,加權指數,20160722,-0.4794
Y9999,加權指數,20160725,-0.2382
Y9999,加權指數,20160726,0.3683
Y9999,加權指數,20160727,0.4277
Y9999,加權指數,20160728,0.1462
Y9999,加權指數,20160729,-1.0161
Y9999,加權指數,20160801,1.0719
Y9999,加權指數,20160802,-0.1316
Y9999,加權指數,20160803,-0.7394
Y9999,加權指數,20160804,0.2555
Y9999,加權指數,20160805,0.7469
Y9999,加權指數,20160808,0.6395
Y9999,加權指數,20160809,0.0527
Y9999,加權指數,20160810,0.4952
Y9999,加權指數,20160811,-0.7455
Y9999,加權指數,20160812,0.2032
Y9999,加權指數,20160815,-0.0205
Y9999,加權指數,20160816,-0.4170
Y9999,加權指數,20160817,0.0806
Y9999,加權指數,20160818,0.0526
Y9999,加權指數,20160819,-0.9672
Y9999,加權指數,20160822,-0.5807
Y9999,加權指數,20160823,0.5469
Y9999,加權指數,20160824,-0.1500
Y9999,加權指數,20160825,1.0878
Y9999,加權指數,20160826,0.1783
Y9999,加權指數,20160829,-0.2360
Y9999,加權指數,20160830,0.0043
Y9999,加權指數,20160831,-0.4578
Y9999,加權指數,20160901,-0.7465
Y9999,加權指數,20160902,-0.1511
Y9999,加權指數,20160905,1.1414
Y9999,加權指數,20160906,1.0090
Y9999,加權指數,20160907,0.8410
Y9999,加權指數,20160908,0.0413
Y9999,加權指數,20160909,-1.0581
Y9999,加權指數,20160910,-1.2132
Y9999,加權指數,20160912,-1.1778
Y9999,加權指數,20160913,-0.0696
Y9999,加權指數,20160914,-0.4309
Y9999,加權指數,20160919,2.8148
Y9999,加權指數,20160920,0.0951
Y9999,加權指數,20160921,0.7304
Y9999,加權指數,20160922,0.0733
Y9999,加權指數,20160923,0.5345
Y9999,加權指數,20160926,-0.9704
Y9999,加權指數,20160929,0.8307
Y9999,加權指數,20160930,-1.1223
Y9999,加權指數,20161003,0.7347
Y9999,加權指數,20161004,0.5801
Y9999,加權指數,20161005,-0.1668
Y9999,加權指數,20161006,0.1297
Y9999,加權指數,20161007,-0.1993
Y9999,加權指數,20161011,-0.4963
Y9999,加權指數,20161012,0.3555
Y9999,加權指數,20161013,-0.3613
Y9999,加權指數,20161014,-0.5857
Y9999,加權指數,20161017,0.1206
Y9999,加權指數,20161018,0.5052
Y9999,加權指數,20161019,0.6659
Y9999,加權指數,20161020,0.3581
Y9999,加權指數,20161021,-0.1145
Y9999,加權指數,20161024,0.1712
Y9999,加權指數,20161025,0.6774
Y9999,加權指數,20161026,-0.2493
Y9999,加權指數,20161027,-0.6697
Y9999,加權指數,20161028,0.0793
Y9999,加權指數,20161031,-0.1805
Y9999,加權指數,20161101,-0.1875
Y9999,加權指數,20161102,-1.4414
Y9999,加權指數,20161103,-0.7853
Y9999,加權指數,20161104,0.0097
Y9999,加權指數,20161107,1.3419
Y9999,加權指數,20161108,0.3002
Y9999,加權指數,20161109,-2.9751
Y9999,加權指數,20161110,2.3367
Y9999,加權指數,20161111,-2.1243
Y9999,加權指數,20161114,-0.1938
Y9999,加權指數,20161115,-0.1048
Y9999,加權指數,20161116,0.3492
Y9999,加權指數,20161117,0.3687
Y9999,加權指數,20161118,0.1504
Y9999,加權指數,20161121,0.3588
Y9999,加權指數,20161122,1.0207
Y9999,加權指數,20161123,0.4909
Y9999,加權指數,20161124,-0.2846
Y9999,加權指數,20161125,0.0760
Y9999,加權指數,20161128,0.6897
Y9999,加權指數,20161129,-0.3238
Y9999,加權指數,20161130,0.5258
Y9999,加權指數,20161201,0.2470
Y9999,加權指數,20161202,-0.7993
